country,year,oil_refinery_throughput,region
China,2010,8408.3, Asia Pacific
China,2011,8685.59, Asia Pacific
China,2012,9199.25, Asia Pacific
China,2013,9598.63, Asia Pacific
China,2014,10155.05, Asia Pacific
China,2015,10683.57, Asia Pacific
China,2016,11083.59, Asia Pacific
China,2017,11656.32, Asia Pacific
China,2018,12441.18, Asia Pacific
India,1980,502, Asia Pacific
India,1981,593, Asia Pacific
India,1982,645, Asia Pacific
India,1983,694, Asia Pacific
India,1984,706, Asia Pacific
India,1985,828, Asia Pacific
India,1986,902, Asia Pacific
India,1987,953, Asia Pacific
India,1988,959, Asia Pacific
India,1989,1044, Asia Pacific
India,1990,1038, Asia Pacific
India,1991,1023, Asia Pacific
India,1992,1089, Asia Pacific
India,1993,1074, Asia Pacific
India,1994,1133, Asia Pacific
India,1995,1165, Asia Pacific
India,1996,1236, Asia Pacific
India,1997,1296, Asia Pacific
India,1998,1339, Asia Pacific
India,1999,1597, Asia Pacific
India,2000,2039, Asia Pacific
India,2001,2144, Asia Pacific
India,2002,2212.01, Asia Pacific
India,2003,2379.96, Asia Pacific
India,2004,2558.59, Asia Pacific
India,2005,2561.48, Asia Pacific
India,2006,2860.05, Asia Pacific
India,2007,3106.61, Asia Pacific
India,2008,3213.32, Asia Pacific
India,2009,3640.9, Asia Pacific
India,2010,3898.93, Asia Pacific
India,2011,4084.91, Asia Pacific
India,2012,4301.5, Asia Pacific
India,2013,4462.33, Asia Pacific
India,2014,4474.71, Asia Pacific
India,2015,4561.02, Asia Pacific
India,2016,4930.4, Asia Pacific
India,2017,5009.5, Asia Pacific
India,2018,5154.14, Asia Pacific
Indonesia,1980,527, Asia Pacific
Indonesia,1981,531, Asia Pacific
Indonesia,1982,500, Asia Pacific
Indonesia,1983,506, Asia Pacific
Indonesia,1984,545, Asia Pacific
Indonesia,1985,586, Asia Pacific
Indonesia,1986,639, Asia Pacific
Indonesia,1987,646, Asia Pacific
Indonesia,1988,674, Asia Pacific
Indonesia,1989,682, Asia Pacific
Indonesia,1990,750, Asia Pacific
Indonesia,1991,780, Asia Pacific
Indonesia,1992,825, Asia Pacific
Indonesia,1993,810, Asia Pacific
Indonesia,1994,851, Asia Pacific
Indonesia,1995,897, Asia Pacific
Indonesia,1996,936, Asia Pacific
Indonesia,1997,914, Asia Pacific
Indonesia,1998,931, Asia Pacific
Indonesia,1999,938, Asia Pacific
Indonesia,2000,986.9, Asia Pacific
Indonesia,2001,990.1, Asia Pacific
Indonesia,2002,980.7, Asia Pacific
Indonesia,2003,982.2, Asia Pacific
Indonesia,2004,1002.8, Asia Pacific
Indonesia,2005,979.9, Asia Pacific
Indonesia,2006,912.7, Asia Pacific
Indonesia,2007,904.2, Asia Pacific
Indonesia,2008,909.5, Asia Pacific
Indonesia,2009,900.2, Asia Pacific
Indonesia,2010,853.4, Asia Pacific
Indonesia,2011,879.5, Asia Pacific
Indonesia,2012,819.9, Asia Pacific
Indonesia,2013,822.3, Asia Pacific
Indonesia,2014,847.8, Asia Pacific
Indonesia,2015,836.4, Asia Pacific
Indonesia,2016,885, Asia Pacific
Indonesia,2017,885.32, Asia Pacific
Indonesia,2018,915.84, Asia Pacific
Japan,1980,4015, Asia Pacific
Japan,1981,3630, Asia Pacific
Japan,1982,3360, Asia Pacific
Japan,1983,3254, Asia Pacific
Japan,1984,3355, Asia Pacific
Japan,1985,3120, Asia Pacific
Japan,1986,2991, Asia Pacific
Japan,1987,2910, Asia Pacific
Japan,1988,2990, Asia Pacific
Japan,1989,3175, Asia Pacific
Japan,1990,3437, Asia Pacific
Japan,1991,3653, Asia Pacific
Japan,1992,3882, Asia Pacific
Japan,1993,3982, Asia Pacific
Japan,1994,4167, Asia Pacific
Japan,1995,4169, Asia Pacific
Japan,1996,4168, Asia Pacific
Japan,1997,4319, Asia Pacific
Japan,1998,4212, Asia Pacific
Japan,1999,4149, Asia Pacific
Japan,2000,4145, Asia Pacific
Japan,2001,4107, Asia Pacific
Japan,2002,3986.05, Asia Pacific
Japan,2003,4118.22, Asia Pacific
Japan,2004,4037.59, Asia Pacific
Japan,2005,4135.71, Asia Pacific
Japan,2006,4025.68, Asia Pacific
Japan,2007,3995.18, Asia Pacific
Japan,2008,3946.48, Asia Pacific
Japan,2009,3626.9, Asia Pacific
Japan,2010,3618.8, Asia Pacific
Japan,2011,3409.94, Asia Pacific
Japan,2012,3400.23, Asia Pacific
Japan,2013,3452.61, Asia Pacific
Japan,2014,3289.01, Asia Pacific
Japan,2015,3258.14, Asia Pacific
Japan,2016,3280.17, Asia Pacific
Japan,2017,3214.52, Asia Pacific
Japan,2018,3058.89, Asia Pacific
Malaysia,1980,123.11, Asia Pacific
Malaysia,1981,121, Asia Pacific
Malaysia,1982,113.7, Asia Pacific
Malaysia,1983,141.2, Asia Pacific
Malaysia,1984,161.08, Asia Pacific
Malaysia,1985,158.55, Asia Pacific
Malaysia,1986,147.69, Asia Pacific
Malaysia,1987,152.17, Asia Pacific
Malaysia,1988,159.28, Asia Pacific
Malaysia,1989,164.49, Asia Pacific
Malaysia,1990,183.73, Asia Pacific
Malaysia,1991,197.54, Asia Pacific
Malaysia,1992,212.27, Asia Pacific
Malaysia,1993,212.02, Asia Pacific
Malaysia,1994,284.6, Asia Pacific
Malaysia,1995,338.03, Asia Pacific
Malaysia,1996,380.21, Asia Pacific
Malaysia,1997,374.79, Asia Pacific
Malaysia,1998,358.39, Asia Pacific
Malaysia,1999,369.08, Asia Pacific
Malaysia,2000,452.14, Asia Pacific
Malaysia,2001,493.48, Asia Pacific
Malaysia,2002,473.75, Asia Pacific
Malaysia,2003,530.17, Asia Pacific
Malaysia,2004,528.54, Asia Pacific
Malaysia,2005,509.15, Asia Pacific
Malaysia,2006,522.43, Asia Pacific
Malaysia,2007,557.39, Asia Pacific
Malaysia,2008,559.68, Asia Pacific
Malaysia,2009,554.29, Asia Pacific
Malaysia,2010,470.41, Asia Pacific
Malaysia,2011,516.26, Asia Pacific
Malaysia,2012,574.96, Asia Pacific
Malaysia,2013,557.58, Asia Pacific
Malaysia,2014,552.62, Asia Pacific
Malaysia,2015,514.09, Asia Pacific
Malaysia,2016,574.2, Asia Pacific
Malaysia,2017,599.38, Asia Pacific
Malaysia,2018,596.39, Asia Pacific
New Zealand,1980,45.8, Asia Pacific
New Zealand,1981,46.35, Asia Pacific
New Zealand,1982,40.06, Asia Pacific
New Zealand,1983,44.87, Asia Pacific
New Zealand,1984,46.69, Asia Pacific
New Zealand,1985,28.1, Asia Pacific
New Zealand,1986,44.95, Asia Pacific
New Zealand,1987,66.7, Asia Pacific
New Zealand,1988,74.15, Asia Pacific
New Zealand,1989,82.48, Asia Pacific
New Zealand,1990,82.73, Asia Pacific
New Zealand,1991,80, Asia Pacific
New Zealand,1992,79.86, Asia Pacific
New Zealand,1993,84.56, Asia Pacific
New Zealand,1994,89.17, Asia Pacific
New Zealand,1995,86.71, Asia Pacific
New Zealand,1996,83.69, Asia Pacific
New Zealand,1997,93.62, Asia Pacific
New Zealand,1998,96.1, Asia Pacific
New Zealand,1999,93.94, Asia Pacific
New Zealand,2000,97.33, Asia Pacific
New Zealand,2001,92.34, Asia Pacific
New Zealand,2002,96.99, Asia Pacific
New Zealand,2003,97.14, Asia Pacific
New Zealand,2004,94.21, Asia Pacific
New Zealand,2005,95.78, Asia Pacific
New Zealand,2006,96.76, Asia Pacific
New Zealand,2007,91.34, Asia Pacific
New Zealand,2008,98.5, Asia Pacific
New Zealand,2009,95.16, Asia Pacific
New Zealand,2010,99.47, Asia Pacific
New Zealand,2011,107.88, Asia Pacific
New Zealand,2012,108.87, Asia Pacific
New Zealand,2013,104.75, Asia Pacific
New Zealand,2014,101.21, Asia Pacific
New Zealand,2015,109, Asia Pacific
New Zealand,2016,107.5, Asia Pacific
New Zealand,2017,107.78, Asia Pacific
New Zealand,2018,103.34, Asia Pacific
Other Asia Pacific,1980,136.35, Asia Pacific
Other Asia Pacific,1981,132.08, Asia Pacific
Other Asia Pacific,1982,135.73, Asia Pacific
Other Asia Pacific,1983,123.44, Asia Pacific
Other Asia Pacific,1984,103.97, Asia Pacific
Other Asia Pacific,1985,129.27, Asia Pacific
Other Asia Pacific,1986,98.77, Asia Pacific
Other Asia Pacific,1987,94.69, Asia Pacific
Other Asia Pacific,1988,94.14, Asia Pacific
Other Asia Pacific,1989,88.64, Asia Pacific
Other Asia Pacific,1990,101.49, Asia Pacific
Other Asia Pacific,1991,92.8, Asia Pacific
Other Asia Pacific,1992,82.01, Asia Pacific
Other Asia Pacific,1993,92.09, Asia Pacific
Other Asia Pacific,1994,85.13, Asia Pacific
Other Asia Pacific,1995,88.01, Asia Pacific
Other Asia Pacific,1996,86.24, Asia Pacific
Other Asia Pacific,1997,79.88, Asia Pacific
Other Asia Pacific,1998,86.38, Asia Pacific
Other Asia Pacific,1999,77.34, Asia Pacific
Other Asia Pacific,2000,87.12, Asia Pacific
Other Asia Pacific,2001,86.01, Asia Pacific
Other Asia Pacific,2002,89.35, Asia Pacific
Other Asia Pacific,2003,87.02, Asia Pacific
Other Asia Pacific,2004,98.08, Asia Pacific
Other Asia Pacific,2005,100.77, Asia Pacific
Other Asia Pacific,2006,104.24, Asia Pacific
Other Asia Pacific,2007,94.42, Asia Pacific
Other Asia Pacific,2008,93.59, Asia Pacific
Other Asia Pacific,2009,97.37, Asia Pacific
Other Asia Pacific,2010,96.23, Asia Pacific
Other Asia Pacific,2011,99.5, Asia Pacific
Other Asia Pacific,2012,89.03, Asia Pacific
Other Asia Pacific,2013,98.18, Asia Pacific
Other Asia Pacific,2014,95.48, Asia Pacific
Other Asia Pacific,2015,87.41, Asia Pacific
Other Asia Pacific,2016,102.74, Asia Pacific
Other Asia Pacific,2017,99.97, Asia Pacific
Other Asia Pacific,2018,101.08, Asia Pacific
Pakistan,1980,90, Asia Pacific
Pakistan,1981,96, Asia Pacific
Pakistan,1982,100, Asia Pacific
Pakistan,1983,100, Asia Pacific
Pakistan,1984,104, Asia Pacific
Pakistan,1985,114, Asia Pacific
Pakistan,1986,118, Asia Pacific
Pakistan,1987,116, Asia Pacific
Pakistan,1988,116, Asia Pacific
Pakistan,1989,115, Asia Pacific
Pakistan,1990,125, Asia Pacific
Pakistan,1991,134, Asia Pacific
Pakistan,1992,131, Asia Pacific
Pakistan,1993,131, Asia Pacific
Pakistan,1994,128, Asia Pacific
Pakistan,1995,129, Asia Pacific
Pakistan,1996,128, Asia Pacific
Pakistan,1997,127, Asia Pacific
Pakistan,1998,130, Asia Pacific
Pakistan,1999,133, Asia Pacific
Pakistan,2000,158, Asia Pacific
Pakistan,2001,180.57, Asia Pacific
Pakistan,2002,192.43, Asia Pacific
Pakistan,2003,195.94, Asia Pacific
Pakistan,2004,209.69, Asia Pacific
Pakistan,2005,230.76, Asia Pacific
Pakistan,2006,221.54, Asia Pacific
Pakistan,2007,238.25, Asia Pacific
Pakistan,2008,226.46, Asia Pacific
Pakistan,2009,209.06, Asia Pacific
Pakistan,2010,189.6, Asia Pacific
Pakistan,2011,192.89, Asia Pacific
Pakistan,2012,191.68, Asia Pacific
Pakistan,2013,223.16, Asia Pacific
Pakistan,2014,231.56, Asia Pacific
Pakistan,2015,256.56, Asia Pacific
Pakistan,2016,241.88, Asia Pacific
Pakistan,2017,260.61, Asia Pacific
Pakistan,2018,275.05, Asia Pacific
Philippines,1980,207, Asia Pacific
Philippines,1981,208, Asia Pacific
Philippines,1982,174, Asia Pacific
Philippines,1983,173, Asia Pacific
Philippines,1984,152, Asia Pacific
Philippines,1985,132.84, Asia Pacific
Philippines,1986,146.8, Asia Pacific
Philippines,1987,167.06, Asia Pacific
Philippines,1988,190.58, Asia Pacific
Philippines,1989,195.3, Asia Pacific
Philippines,1990,212.69, Asia Pacific
Philippines,1991,203.77, Asia Pacific
Philippines,1992,227.03, Asia Pacific
Philippines,1993,225.76, Asia Pacific
Philippines,1994,232.17, Asia Pacific
Philippines,1995,314.09, Asia Pacific
Philippines,1996,340.91, Asia Pacific
Philippines,1997,358.47, Asia Pacific
Philippines,1998,331.72, Asia Pacific
Philippines,1999,320.77, Asia Pacific
Philippines,2000,304.86, Asia Pacific
Philippines,2001,289.3, Asia Pacific
Philippines,2002,249.84, Asia Pacific
Philippines,2003,242.41, Asia Pacific
Philippines,2004,192, Asia Pacific
Philippines,2005,206.79, Asia Pacific
Philippines,2006,211.4, Asia Pacific
Philippines,2007,205.69, Asia Pacific
Philippines,2008,183.61, Asia Pacific
Philippines,2009,147.15, Asia Pacific
Philippines,2010,180.57, Asia Pacific
Philippines,2011,189.83, Asia Pacific
Philippines,2012,170.47, Asia Pacific
Philippines,2013,158.11, Asia Pacific
Philippines,2014,168.14, Asia Pacific
Philippines,2015,212.27, Asia Pacific
Philippines,2016,215.89, Asia Pacific
Philippines,2017,211.48, Asia Pacific
Philippines,2018,237.07, Asia Pacific
Singapore,1980,550, Asia Pacific
Singapore,1981,600, Asia Pacific
Singapore,1982,580, Asia Pacific
Singapore,1983,560, Asia Pacific
Singapore,1984,560, Asia Pacific
Singapore,1985,700, Asia Pacific
Singapore,1986,750, Asia Pacific
Singapore,1987,670, Asia Pacific
Singapore,1988,746, Asia Pacific
Singapore,1989,840, Asia Pacific
Singapore,1990,936, Asia Pacific
Singapore,1991,959, Asia Pacific
Singapore,1992,952, Asia Pacific
Singapore,1993,1082, Asia Pacific
Singapore,1994,1118, Asia Pacific
Singapore,1995,1101, Asia Pacific
Singapore,1996,1183, Asia Pacific
Singapore,1997,1172, Asia Pacific
Singapore,1998,1098, Asia Pacific
Singapore,1999,933, Asia Pacific
Singapore,2000,880, Asia Pacific
Singapore,2001,880, Asia Pacific
Singapore,2002,825, Asia Pacific
Singapore,2003,939, Asia Pacific
Singapore,2004,1111, Asia Pacific
Singapore,2005,1176, Asia Pacific
Singapore,2006,1155, Asia Pacific
Singapore,2007,1163, Asia Pacific
Singapore,2008,1161, Asia Pacific
Singapore,2009,843.72, Asia Pacific
Singapore,2010,978.64, Asia Pacific
Singapore,2011,1034.81, Asia Pacific
Singapore,2012,1019.9, Asia Pacific
Singapore,2013,935.71, Asia Pacific
Singapore,2014,871.35, Asia Pacific
Singapore,2015,937.2, Asia Pacific
Singapore,2016,973.31, Asia Pacific
Singapore,2017,1068, Asia Pacific
Singapore,2018,1046.9, Asia Pacific
South Korea,1980,492, Asia Pacific
South Korea,1981,489, Asia Pacific
South Korea,1982,474, Asia Pacific
South Korea,1983,522, Asia Pacific
South Korea,1984,552, Asia Pacific
South Korea,1985,551, Asia Pacific
South Korea,1986,575, Asia Pacific
South Korea,1987,578, Asia Pacific
South Korea,1988,701, Asia Pacific
South Korea,1989,813, Asia Pacific
South Korea,1990,842, Asia Pacific
South Korea,1991,1131, Asia Pacific
South Korea,1992,1395, Asia Pacific
South Korea,1993,1490, Asia Pacific
South Korea,1994,1537, Asia Pacific
South Korea,1995,1729, Asia Pacific
South Korea,1996,1970, Asia Pacific
South Korea,1997,2389, Asia Pacific
South Korea,1998,2263, Asia Pacific
South Korea,1999,2391, Asia Pacific
South Korea,2000,2433, Asia Pacific
South Korea,2001,2355, Asia Pacific
South Korea,2002,2156, Asia Pacific
South Korea,2003,2145, Asia Pacific
South Korea,2004,2258.34, Asia Pacific
South Korea,2005,2335.45, Asia Pacific
South Korea,2006,2406.57, Asia Pacific
South Korea,2007,2416.76, Asia Pacific
South Korea,2008,2365.2, Asia Pacific
South Korea,2009,2297.19, Asia Pacific
South Korea,2010,2389.72, Asia Pacific
South Korea,2011,2532.72, Asia Pacific
South Korea,2012,2582.41, Asia Pacific
South Korea,2013,2484.04, Asia Pacific
South Korea,2014,2516.01, Asia Pacific
South Korea,2015,2783.99, Asia Pacific
South Korea,2016,2928.23, Asia Pacific
South Korea,2017,3061.3, Asia Pacific
South Korea,2018,3029.89, Asia Pacific
Taiwan,1980,359, Asia Pacific
Taiwan,1981,335, Asia Pacific
Taiwan,1982,327.34, Asia Pacific
Taiwan,1983,358.45, Asia Pacific
