country,year,electricity_generation,region
South Africa,1994,181.69, Africa
South Africa,1995,186.66, Africa
South Africa,1996,200.09, Africa
South Africa,1997,210.36, Africa
South Africa,1998,205.37, Africa
South Africa,1999,203.01, Africa
South Africa,2000,210.67, Africa
South Africa,2001,210.1, Africa
South Africa,2002,220.57, Africa
South Africa,2003,234.23, Africa
South Africa,2004,244.6, Africa
South Africa,2005,244.92, Africa
South Africa,2006,253.8, Africa
South Africa,2007,263.48, Africa
South Africa,2008,258.29, Africa
South Africa,2009,249.56, Africa
South Africa,2010,259.6, Africa
South Africa,2011,262.54, Africa
South Africa,2012,257.92, Africa
South Africa,2013,256.14, Africa
South Africa,2014,254.76, Africa
South Africa,2015,250.15, Africa
South Africa,2016,252.75, Africa
South Africa,2017,255.09, Africa
South Africa,2018,256, Africa
Western Africa,1985,18.22, Africa
Western Africa,1986,20.25, Africa
Western Africa,1987,21.44, Africa
Western Africa,1988,22.19, Africa
Western Africa,1989,23.78, Africa
Western Africa,1990,24.42, Africa
Western Africa,1991,25.5, Africa
Western Africa,1992,26.71, Africa
Western Africa,1993,26.61, Africa
Western Africa,1994,27.63, Africa
Western Africa,1995,28.64, Africa
Western Africa,1996,30.08, Africa
Western Africa,1997,31.08, Africa
Western Africa,1998,28.92, Africa
Western Africa,1999,31.78, Africa
Western Africa,2000,31.86, Africa
Western Africa,2001,33.85, Africa
Western Africa,2002,40.22, Africa
Western Africa,2003,37.48, Africa
Western Africa,2004,42.45, Africa
Western Africa,2005,42.89, Africa
Western Africa,2006,44.16, Africa
Western Africa,2007,43.13, Africa
Western Africa,2008,43.11, Africa
Western Africa,2009,42.23, Africa
Western Africa,2010,50.2, Africa
Western Africa,2011,51.99, Africa
Western Africa,2012,54.05, Africa
Western Africa,2013,59.25, Africa
Western Africa,2014,62.48, Africa
Western Africa,2015,63.34, Africa
Western Africa,2016,67.32, Africa
Western Africa,2017,69.79, Africa
Western Africa,2018,72.18, Africa
Australia,1985,123.67, Asia Pacific
Australia,1986,129.53, Asia Pacific
Australia,1987,135.81, Asia Pacific
Australia,1988,143.37, Asia Pacific
Australia,1989,151.43, Asia Pacific
Australia,1990,155.65, Asia Pacific
Australia,1991,157.96, Asia Pacific
Australia,1992,161.4, Asia Pacific
Australia,1993,165.38, Asia Pacific
Australia,1994,170.14, Asia Pacific
Australia,1995,175.22, Asia Pacific
Australia,1996,180.13, Asia Pacific
Australia,1997,188.98, Asia Pacific
Australia,1998,199.47, Asia Pacific
Australia,1999,206.9, Asia Pacific
Australia,2000,216.83, Asia Pacific
Australia,2001,224.25, Asia Pacific
Australia,2002,223.5, Asia Pacific
Australia,2003,225.95, Asia Pacific
Australia,2004,229.22, Asia Pacific
Australia,2005,230.74, Asia Pacific
Australia,2006,237.99, Asia Pacific
Australia,2007,243.18, Asia Pacific
Australia,2008,245.37, Asia Pacific
Australia,2009,249.9, Asia Pacific
Australia,2010,250.96, Asia Pacific
Australia,2011,256.3, Asia Pacific
Australia,2012,250.67, Asia Pacific
Australia,2013,249.56, Asia Pacific
Australia,2014,247.65, Asia Pacific
Australia,2015,254.32, Asia Pacific
Australia,2016,258.48, Asia Pacific
Australia,2017,259.03, Asia Pacific
Australia,2018,261.41, Asia Pacific
Bangladesh,1985,4.53, Asia Pacific
Bangladesh,1986,4.8, Asia Pacific
Bangladesh,1987,5.59, Asia Pacific
Bangladesh,1988,6.54, Asia Pacific
Bangladesh,1989,7.12, Asia Pacific
Bangladesh,1990,7.73, Asia Pacific
Bangladesh,1991,8.27, Asia Pacific
Bangladesh,1992,8.89, Asia Pacific
Bangladesh,1993,9.21, Asia Pacific
Bangladesh,1994,9.78, Asia Pacific
Bangladesh,1995,10.81, Asia Pacific
Bangladesh,1996,11.47, Asia Pacific
Bangladesh,1997,11.86, Asia Pacific
Bangladesh,1998,12.88, Asia Pacific
Bangladesh,1999,14.45, Asia Pacific
Bangladesh,2000,15.77, Asia Pacific
Bangladesh,2001,17.39, Asia Pacific
Bangladesh,2002,18.67, Asia Pacific
Bangladesh,2003,19.71, Asia Pacific
Bangladesh,2004,24.68, Asia Pacific
Bangladesh,2005,26.45, Asia Pacific
Bangladesh,2006,29.54, Asia Pacific
Bangladesh,2007,31.02, Asia Pacific
Bangladesh,2008,34.24, Asia Pacific
Bangladesh,2009,37.21, Asia Pacific
Bangladesh,2010,40.84, Asia Pacific
Bangladesh,2011,44.22, Asia Pacific
Bangladesh,2012,48.66, Asia Pacific
Bangladesh,2013,54.37, Asia Pacific
Bangladesh,2014,57.42, Asia Pacific
Bangladesh,2015,61.83, Asia Pacific
Bangladesh,2016,70, Asia Pacific
Bangladesh,2017,74.43, Asia Pacific
Bangladesh,2018,79.13, Asia Pacific
China,1985,410.69, Asia Pacific
China,1986,449.53, Asia Pacific
China,1987,497.27, Asia Pacific
China,1988,545.21, Asia Pacific
China,1989,584.81, Asia Pacific
China,1990,621.2, Asia Pacific
China,1991,677.55, Asia Pacific
China,1992,753.94, Asia Pacific
China,1993,811.59, Asia Pacific
China,1994,927.8, Asia Pacific
China,1995,1007.03, Asia Pacific
China,1996,1081.31, Asia Pacific
China,1997,1135.55, Asia Pacific
China,1998,1167, Asia Pacific
China,1999,1239.3, Asia Pacific
China,2000,1355.6, Asia Pacific
China,2001,1480.8, Asia Pacific
China,2002,1654, Asia Pacific
China,2003,1910.58, Asia Pacific
China,2004,2203.31, Asia Pacific
China,2005,2500.26, Asia Pacific
China,2006,2865.73, Asia Pacific
China,2007,3281.55, Asia Pacific
China,2008,3495.76, Asia Pacific
China,2009,3714.65, Asia Pacific
China,2010,4207.16, Asia Pacific
China,2011,4713.02, Asia Pacific
China,2012,4987.55, Asia Pacific
China,2013,5431.64, Asia Pacific
China,2014,5649.58, Asia Pacific
China,2015,5814.57, Asia Pacific
China,2016,6133.16, Asia Pacific
China,2017,6604.45, Asia Pacific
China,2018,7111.77, Asia Pacific
China Hong Kong SAR,1985,19.25, Asia Pacific
China Hong Kong SAR,1986,21.42, Asia Pacific
China Hong Kong SAR,1987,23.75, Asia Pacific
China Hong Kong SAR,1988,25.51, Asia Pacific
China Hong Kong SAR,1989,27.36, Asia Pacific
China Hong Kong SAR,1990,28.96, Asia Pacific
China Hong Kong SAR,1991,31.89, Asia Pacific
China Hong Kong SAR,1992,35.08, Asia Pacific
China Hong Kong SAR,1993,35.95, Asia Pacific
China Hong Kong SAR,1994,26.74, Asia Pacific
China Hong Kong SAR,1995,27.92, Asia Pacific
China Hong Kong SAR,1996,28.44, Asia Pacific
China Hong Kong SAR,1997,28.94, Asia Pacific
China Hong Kong SAR,1998,31.41, Asia Pacific
China Hong Kong SAR,1999,29.5, Asia Pacific
China Hong Kong SAR,2000,31.33, Asia Pacific
China Hong Kong SAR,2001,32.43, Asia Pacific
China Hong Kong SAR,2002,34.31, Asia Pacific
China Hong Kong SAR,2003,35.51, Asia Pacific
China Hong Kong SAR,2004,37.13, Asia Pacific
China Hong Kong SAR,2005,38.45, Asia Pacific
China Hong Kong SAR,2006,38.61, Asia Pacific
China Hong Kong SAR,2007,38.95, Asia Pacific
China Hong Kong SAR,2008,37.99, Asia Pacific
China Hong Kong SAR,2009,38.73, Asia Pacific
China Hong Kong SAR,2010,38.38, Asia Pacific
China Hong Kong SAR,2011,39.1, Asia Pacific
China Hong Kong SAR,2012,38.84, Asia Pacific
China Hong Kong SAR,2013,39.16, Asia Pacific
China Hong Kong SAR,2014,39.91, Asia Pacific
China Hong Kong SAR,2015,38.03, Asia Pacific
China Hong Kong SAR,2016,38.26, Asia Pacific
China Hong Kong SAR,2017,37.12, Asia Pacific
China Hong Kong SAR,2018,36.67, Asia Pacific
India,1985,186.39, Asia Pacific
India,1986,202.68, Asia Pacific
India,1987,223.67, Asia Pacific
India,1988,241.3, Asia Pacific
India,1989,272.45, Asia Pacific
India,1990,287.76, Asia Pacific
India,1991,320.46, Asia Pacific
India,1992,337.15, Asia Pacific
India,1993,362.18, Asia Pacific
India,1994,387.97, Asia Pacific
India,1995,427.15, Asia Pacific
India,1996,443.21, Asia Pacific
India,1997,469.15, Asia Pacific
India,1998,505.08, Asia Pacific
India,1999,547.36, Asia Pacific
India,2000,571.39, Asia Pacific
India,2001,586.09, Asia Pacific
India,2002,609.65, Asia Pacific
India,2003,638.13, Asia Pacific
India,2004,677.01, Asia Pacific
India,2005,704.61, Asia Pacific
India,2006,744.43, Asia Pacific
India,2007,796.27, Asia Pacific
India,2008,828.41, Asia Pacific
India,2009,879.71, Asia Pacific
India,2010,937.47, Asia Pacific
India,2011,1034.01, Asia Pacific
India,2012,1091.84, Asia Pacific
India,2013,1146.14, Asia Pacific
India,2014,1262.22, Asia Pacific
India,2015,1317.3, Asia Pacific
India,2016,1401.74, Asia Pacific
India,2017,1470.34, Asia Pacific
India,2018,1561.1, Asia Pacific
Indonesia,1985,16.37, Asia Pacific
Indonesia,1986,18.41, Asia Pacific
Indonesia,1987,20.72, Asia Pacific
Indonesia,1988,24.81, Asia Pacific
Indonesia,1989,28.49, Asia Pacific
Indonesia,1990,33.11, Asia Pacific
Indonesia,1991,38.1, Asia Pacific
Indonesia,1992,40.28, Asia Pacific
Indonesia,1993,39.71, Asia Pacific
Indonesia,1994,45.93, Asia Pacific
Indonesia,1995,54.12, Asia Pacific
Indonesia,1996,58.87, Asia Pacific
Indonesia,1997,70.69, Asia Pacific
Indonesia,1998,76.69, Asia Pacific
Indonesia,1999,83.97, Asia Pacific
Indonesia,2000,93.33, Asia Pacific
Indonesia,2001,101.66, Asia Pacific
Indonesia,2002,108.22, Asia Pacific
Indonesia,2003,112.98, Asia Pacific
Indonesia,2004,120.15, Asia Pacific
Indonesia,2005,127.56, Asia Pacific
Indonesia,2006,133.11, Asia Pacific
Indonesia,2007,142.44, Asia Pacific
Indonesia,2008,149.44, Asia Pacific
Indonesia,2009,156.8, Asia Pacific
Indonesia,2010,169.79, Asia Pacific
Indonesia,2011,183.42, Asia Pacific
Indonesia,2012,200.32, Asia Pacific
Indonesia,2013,216.19, Asia Pacific
Indonesia,2014,228.56, Asia Pacific
Indonesia,2015,233.98, Asia Pacific
Indonesia,2016,247.92, Asia Pacific
Indonesia,2017,254.62, Asia Pacific
Indonesia,2018,267.3, Asia Pacific
Japan,1985,671.95, Asia Pacific
Japan,1986,676.36, Asia Pacific
Japan,1987,719.09, Asia Pacific
Japan,1988,753.73, Asia Pacific
Japan,1989,799.77, Asia Pacific
Japan,1990,881.5, Asia Pacific
Japan,1991,911.3, Asia Pacific
Japan,1992,916.79, Asia Pacific
Japan,1993,926.1, Asia Pacific
Japan,1994,984.49, Asia Pacific
Japan,1995,1010.88, Asia Pacific
Japan,1996,1029.86, Asia Pacific
Japan,1997,1054.86, Asia Pacific
Japan,1998,1059.66, Asia Pacific
Japan,1999,1079.14, Asia Pacific
Japan,2000,1099.67, Asia Pacific
Japan,2001,1083.14, Asia Pacific
Japan,2002,1103.08, Asia Pacific
Japan,2003,1092.6, Asia Pacific
Japan,2004,1121.19, Asia Pacific
Japan,2005,1153.06, Asia Pacific
Japan,2006,1164.35, Asia Pacific
Japan,2007,1180.11, Asia Pacific
Japan,2008,1183.72, Asia Pacific
Japan,2009,1114, Asia Pacific
Japan,2010,1156.02, Asia Pacific
Japan,2011,1104.18, Asia Pacific
Japan,2012,1106.88, Asia Pacific
Japan,2013,1087.76, Asia Pacific
Japan,2014,1062.73, Asia Pacific
Japan,2015,1030.11, Asia Pacific
Japan,2016,1042.07, Asia Pacific
Japan,2017,1050.15, Asia Pacific
Japan,2018,1051.62, Asia Pacific
Malaysia,1985,14.94, Asia Pacific
Malaysia,1986,16.13, Asia Pacific
Malaysia,1987,17.42, Asia Pacific
Malaysia,1988,19.35, Asia Pacific
Malaysia,1989,21.52, Asia Pacific
Malaysia,1990,23.02, Asia Pacific
Malaysia,1991,26.55, Asia Pacific
Malaysia,1992,29.16, Asia Pacific
Malaysia,1993,32.14, Asia Pacific
Malaysia,1994,36.52, Asia Pacific
Malaysia,1995,36.86, Asia Pacific
Malaysia,1996,49.32, Asia Pacific
Malaysia,1997,57.42, Asia Pacific
Malaysia,1998,58.23, Asia Pacific
Malaysia,1999,62.62, Asia Pacific
Malaysia,2000,64.5, Asia Pacific
Malaysia,2001,70.11, Asia Pacific
Malaysia,2002,75.97, Asia Pacific
Malaysia,2003,77.36, Asia Pacific
Malaysia,2004,91.3, Asia Pacific
Malaysia,2005,94.01, Asia Pacific
Malaysia,2006,100.04, Asia Pacific
Malaysia,2007,103.59, Asia Pacific
Malaysia,2008,106.89, Asia Pacific
Malaysia,2009,111.29, Asia Pacific
Malaysia,2010,120.08, Asia Pacific
Malaysia,2011,120.87, Asia Pacific
Malaysia,2012,127.33, Asia Pacific
Malaysia,2013,137.45, Asia Pacific
Malaysia,2014,143.22, Asia Pacific
Malaysia,2015,147.16, Asia Pacific
Malaysia,2016,158.84, Asia Pacific
Malaysia,2017,162.25, Asia Pacific
Malaysia,2018,168.44, Asia Pacific
New Zealand,1985,28.46, Asia Pacific
New Zealand,1986,29.35, Asia Pacific
New Zealand,1987,29.75, Asia Pacific
New Zealand,1988,31.09, Asia Pacific
New Zealand,1989,31.36, Asia Pacific
New Zealand,1990,32.26, Asia Pacific
New Zealand,1991,33.3, Asia Pacific
New Zealand,1992,32.9, Asia Pacific
New Zealand,1993,34.28, Asia Pacific
New Zealand,1994,34.85, Asia Pacific
New Zealand,1995,36.06, Asia Pacific
New Zealand,1996,36.47, Asia Pacific
New Zealand,1997,37.11, Asia Pacific
New Zealand,1998,37.61, Asia Pacific
New Zealand,1999,37.82, Asia Pacific
New Zealand,2000,39.25, Asia Pacific
New Zealand,2001,39.57, Asia Pacific
New Zealand,2002,40.63, Asia Pacific
New Zealand,2003,40.78, Asia Pacific
New Zealand,2004,42.7, Asia Pacific
New Zealand,2005,42.9, Asia Pacific
New Zealand,2006,43.45, Asia Pacific
New Zealand,2007,43.8, Asia Pacific
New Zealand,2008,43.83, Asia Pacific
New Zealand,2009,43.44, Asia Pacific
New Zealand,2010,44.86, Asia Pacific
New Zealand,2011,44.41, Asia Pacific
New Zealand,2012,44.25, Asia Pacific
New Zealand,2013,43.26, Asia Pacific
New Zealand,2014,43.51, Asia Pacific
New Zealand,2015,44.18, Asia Pacific
New Zealand,2016,43.64, Asia Pacific
New Zealand,2017,44.21, Asia Pacific
New Zealand,2018,44.3, Asia Pacific
Other Asia Pacific,1985,37.34, Asia Pacific
Other Asia Pacific,1986,38.71, Asia Pacific
Other Asia Pacific,1987,40.8, Asia Pacific
Other Asia Pacific,1988,43.31, Asia Pacific
Other Asia Pacific,1989,45.28, Asia Pacific
Other Asia Pacific,1990,43.76, Asia Pacific
Other Asia Pacific,1991,42.65, Asia Pacific
Other Asia Pacific,1992,41.35, Asia Pacific
Other Asia Pacific,1993,39.68, Asia Pacific
Other Asia Pacific,1994,41.63, Asia Pacific
Other Asia Pacific,1995,42.63, Asia Pacific
Other Asia Pacific,1996,41.94, Asia Pacific
Other Asia Pacific,1997,40.39, Asia Pacific
Other Asia Pacific,1998,39.69, Asia Pacific
Other Asia Pacific,1999,42.58, Asia Pacific
Other Asia Pacific,2000,45.66, Asia Pacific
Other Asia Pacific,2001,47.35, Asia Pacific
Other Asia Pacific,2002,47.83, Asia Pacific
Other Asia Pacific,2003,50.36, Asia Pacific
Other Asia Pacific,2004,52.41, Asia Pacific
Other Asia Pacific,2005,54.81, Asia Pacific
Other Asia Pacific,2006,58.05, Asia Pacific
Other Asia Pacific,2007,61.76, Asia Pacific
Other Asia Pacific,2008,64.75, Asia Pacific
Other Asia Pacific,2009,63.46, Asia Pacific
Other Asia Pacific,2010,70.82, Asia Pacific
Other Asia Pacific,2011,75.03, Asia Pacific
Other Asia Pacific,2012,76.52, Asia Pacific
Other Asia Pacific,2013,82.81, Asia Pacific
Other Asia Pacific,2014,86.8, Asia Pacific
Other Asia Pacific,2015,89.49, Asia Pacific
Other Asia Pacific,2016,107.26, Asia Pacific
Other Asia Pacific,2017,117.65, Asia Pacific
Other Asia Pacific,2018,124.67, Asia Pacific
Pakistan,1985,28.82, Asia Pacific
Pakistan,1986,32.35, Asia Pacific
Pakistan,1987,36.35, Asia Pacific
Pakistan,1988,40.67, Asia Pacific
Pakistan,1989,42.81, Asia Pacific
Pakistan,1990,45.98, Asia Pacific
Pakistan,1991,50.22, Asia Pacific
Pakistan,1992,53.58, Asia Pacific
Pakistan,1993,57.01, Asia Pacific
Pakistan,1994,57.92, Asia Pacific
Pakistan,1995,63.75, Asia Pacific
Pakistan,1996,67.56, Asia Pacific
Pakistan,1997,62.48, Asia Pacific
Pakistan,1998,66.4, Asia Pacific
Pakistan,1999,65.3, Asia Pacific
Pakistan,2000,63.73, Asia Pacific
Pakistan,2001,70.65, Asia Pacific
Pakistan,2002,74.43, Asia Pacific
Pakistan,2003,76.99, Asia Pacific
Pakistan,2004,82.31, Asia Pacific
Pakistan,2005,90.18, Asia Pacific
Pakistan,2006,96.12, Asia Pacific
Pakistan,2007,98.09, Asia Pacific
Pakistan,2008,96.19, Asia Pacific
Pakistan,2009,97.08, Asia Pacific
Pakistan,2010,100.04, Asia Pacific
Pakistan,2011,99.93, Asia Pacific
Pakistan,2012,98.96, Asia Pacific
Pakistan,2013,102.16, Asia Pacific
Pakistan,2014,107.31, Asia Pacific
Pakistan,2015,110.46, Asia Pacific
Pakistan,2016,122.88, Asia Pacific
Pakistan,2017,126.61, Asia Pacific
Pakistan,2018,140.63, Asia Pacific
Philippines,1985,22.77, Asia Pacific
Philippines,1986,20.97, Asia Pacific
Philippines,1987,22.64, Asia Pacific
Philippines,1988,24.54, Asia Pacific
Philippines,1989,25.57, Asia Pacific
Philippines,1990,26.33, Asia Pacific
Philippines,1991,25.65, Asia Pacific
Philippines,1992,25.87, Asia Pacific
Philippines,1993,26.58, Asia Pacific
Philippines,1994,30.46, Asia Pacific
Philippines,1995,33.55, Asia Pacific
Philippines,1996,36.71, Asia Pacific
Philippines,1997,39.8, Asia Pacific
Philippines,1998,41.58, Asia Pacific
Philippines,1999,41.43, Asia Pacific
Philippines,2000,45.29, Asia Pacific
Philippines,2001,47.05, Asia Pacific
Philippines,2002,48.47, Asia Pacific
Philippines,2003,52.94, Asia Pacific
Philippines,2004,55.96, Asia Pacific
Philippines,2005,56.57, Asia Pacific
Philippines,2006,56.78, Asia Pacific
Philippines,2007,59.61, Asia Pacific
Philippines,2008,60.82, Asia Pacific
Philippines,2009,61.93, Asia Pacific
Philippines,2010,67.74, Asia Pacific
Philippines,2011,69.18, Asia Pacific
Philippines,2012,72.92, Asia Pacific
Philippines,2013,75.27, Asia Pacific
Philippines,2014,77.26, Asia Pacific
Philippines,2015,82.41, Asia Pacific
Philippines,2016,90.8, Asia Pacific
Philippines,2017,94.37, Asia Pacific
Philippines,2018,99.76, Asia Pacific
Singapore,1985,9.88, Asia Pacific
Singapore,1986,10.58, Asia Pacific
Singapore,1987,11.81, Asia Pacific
Singapore,1988,13.02, Asia Pacific
