country,year,gas_production_bcm,region
Nigeria,1974,0.37, Africa
Nigeria,1975,0.34, Africa
Nigeria,1976,0.62, Africa
Nigeria,1977,0.82, Africa
Nigeria,1978,0.99, Africa
Nigeria,1979,1.31, Africa
Nigeria,1980,1.58, Africa
Nigeria,1981,2.33, Africa
Nigeria,1982,2.43, Africa
Nigeria,1983,2.75, Africa
Nigeria,1984,2.65, Africa
Nigeria,1985,2.51, Africa
Nigeria,1986,2.93, Africa
Nigeria,1987,2.9, Africa
Nigeria,1988,3.48, Africa
Nigeria,1989,4.03, Africa
Nigeria,1990,3.84, Africa
Nigeria,1991,3.74, Africa
Nigeria,1992,4.05, Africa
Nigeria,1993,4.62, Africa
Nigeria,1994,4.22, Africa
Nigeria,1995,4.59, Africa
Nigeria,1996,5.17, Africa
Nigeria,1997,4.97, Africa
Nigeria,1998,6.02, Africa
Nigeria,1999,4.34, Africa
Nigeria,2000,11.2, Africa
Nigeria,2001,15.26, Africa
Nigeria,2002,17.14, Africa
Nigeria,2003,21.39, Africa
Nigeria,2004,22.89, Africa
Nigeria,2005,22.98, Africa
Nigeria,2006,26.89, Africa
Nigeria,2007,33.63, Africa
Nigeria,2008,32.78, Africa
Nigeria,2009,23.19, Africa
Nigeria,2010,30.91, Africa
Nigeria,2011,36.43, Africa
Nigeria,2012,39.16, Africa
Nigeria,2013,33.1, Africa
Nigeria,2014,39.98, Africa
Nigeria,2015,47.99, Africa
Nigeria,2016,46.21, Africa
Nigeria,2017,48.1, Africa
Nigeria,2018,49.24, Africa
Other Africa,1970,0.11, Africa
Other Africa,1971,0.18, Africa
Other Africa,1972,0.24, Africa
Other Africa,1973,0.75, Africa
Other Africa,1974,0.96, Africa
Other Africa,1975,0.59, Africa
Other Africa,1976,0.45, Africa
Other Africa,1977,0.52, Africa
Other Africa,1978,0.6, Africa
Other Africa,1979,0.65, Africa
Other Africa,1980,0.83, Africa
Other Africa,1981,0.94, Africa
Other Africa,1982,1.02, Africa
Other Africa,1983,1.03, Africa
Other Africa,1984,1, Africa
Other Africa,1985,1.04, Africa
Other Africa,1986,1.11, Africa
Other Africa,1987,1.11, Africa
Other Africa,1988,1.33, Africa
Other Africa,1989,1.22, Africa
Other Africa,1990,3.01, Africa
Other Africa,1991,2.94, Africa
Other Africa,1992,2.89, Africa
Other Africa,1993,3.07, Africa
Other Africa,1994,3.02, Africa
Other Africa,1995,3.13, Africa
Other Africa,1996,4.02, Africa
Other Africa,1997,5, Africa
Other Africa,1998,5.23, Africa
Other Africa,1999,6.12, Africa
Other Africa,2000,6.21, Africa
Other Africa,2001,7.78, Africa
Other Africa,2002,8.05, Africa
Other Africa,2003,7.4, Africa
Other Africa,2004,9.74, Africa
Other Africa,2005,11.53, Africa
Other Africa,2006,11.73, Africa
Other Africa,2007,12.31, Africa
Other Africa,2008,16.6, Africa
Other Africa,2009,16.91, Africa
Other Africa,2010,19.01, Africa
Other Africa,2011,19.09, Africa
Other Africa,2012,18.96, Africa
Other Africa,2013,19.74, Africa
Other Africa,2014,19.7, Africa
Other Africa,2015,20.54, Africa
Other Africa,2016,21.59, Africa
Other Africa,2017,26.18, Africa
Other Africa,2018,26.66, Africa
Australia,1970,1.73, Asia Pacific
Australia,1971,2.58, Asia Pacific
Australia,1972,3.71, Asia Pacific
Australia,1973,4.71, Asia Pacific
Australia,1974,5.37, Asia Pacific
Australia,1975,5.77, Asia Pacific
Australia,1976,6.81, Asia Pacific
Australia,1977,7.78, Asia Pacific
Australia,1978,8.37, Asia Pacific
Australia,1979,9.64, Asia Pacific
Australia,1980,11.07, Asia Pacific
Australia,1981,11.99, Asia Pacific
Australia,1982,11.7, Asia Pacific
Australia,1983,12.71, Asia Pacific
Australia,1984,12.53, Asia Pacific
Australia,1985,13.4, Asia Pacific
Australia,1986,14.63, Asia Pacific
Australia,1987,14.94, Asia Pacific
Australia,1988,15.3, Asia Pacific
Australia,1989,17.71, Asia Pacific
Australia,1990,20.61, Asia Pacific
Australia,1991,21.58, Asia Pacific
Australia,1992,23.33, Asia Pacific
Australia,1993,24.38, Asia Pacific
Australia,1994,27.99, Asia Pacific
Australia,1995,29.6, Asia Pacific
Australia,1996,29.63, Asia Pacific
Australia,1997,29.64, Asia Pacific
Australia,1998,30.27, Asia Pacific
Australia,1999,30.71, Asia Pacific
Australia,2000,31.19, Asia Pacific
Australia,2001,32.64, Asia Pacific
Australia,2002,33, Asia Pacific
Australia,2003,33.75, Asia Pacific
Australia,2004,35.93, Asia Pacific
Australia,2005,38.24, Asia Pacific
Australia,2006,40.68, Asia Pacific
Australia,2007,42.75, Asia Pacific
Australia,2008,41.68, Asia Pacific
Australia,2009,46.7, Asia Pacific
Australia,2010,54.01, Asia Pacific
Australia,2011,55.65, Asia Pacific
Australia,2012,59.53, Asia Pacific
Australia,2013,61.8, Asia Pacific
Australia,2014,66.64, Asia Pacific
Australia,2015,76.04, Asia Pacific
Australia,2016,96.42, Asia Pacific
Australia,2017,112.82, Asia Pacific
Australia,2018,130.1, Asia Pacific
Bangladesh,1970,0, Asia Pacific
Bangladesh,1971,0, Asia Pacific
Bangladesh,1972,0.44, Asia Pacific
Bangladesh,1973,0.61, Asia Pacific
Bangladesh,1974,0.67, Asia Pacific
Bangladesh,1975,0.67, Asia Pacific
Bangladesh,1976,0.89, Asia Pacific
Bangladesh,1977,0.99, Asia Pacific
Bangladesh,1978,1.09, Asia Pacific
Bangladesh,1979,1.25, Asia Pacific
Bangladesh,1980,1.41, Asia Pacific
Bangladesh,1981,1.36, Asia Pacific
Bangladesh,1982,1.77, Asia Pacific
Bangladesh,1983,1.97, Asia Pacific
Bangladesh,1984,2.27, Asia Pacific
Bangladesh,1985,2.58, Asia Pacific
Bangladesh,1986,2.91, Asia Pacific
Bangladesh,1987,3.42, Asia Pacific
Bangladesh,1988,4.02, Asia Pacific
Bangladesh,1989,4.25, Asia Pacific
Bangladesh,1990,4.57, Asia Pacific
Bangladesh,1991,4.71, Asia Pacific
Bangladesh,1992,5.14, Asia Pacific
Bangladesh,1993,5.75, Asia Pacific
Bangladesh,1994,6.1, Asia Pacific
Bangladesh,1995,6.74, Asia Pacific
Bangladesh,1996,7.24, Asia Pacific
Bangladesh,1997,7.11, Asia Pacific
Bangladesh,1998,7.69, Asia Pacific
Bangladesh,1999,8.38, Asia Pacific
Bangladesh,2000,9.06, Asia Pacific
Bangladesh,2001,10.14, Asia Pacific
Bangladesh,2002,10.67, Asia Pacific
Bangladesh,2003,11.48, Asia Pacific
Bangladesh,2004,12.34, Asia Pacific
Bangladesh,2005,13.26, Asia Pacific
Bangladesh,2006,14.36, Asia Pacific
Bangladesh,2007,15.34, Asia Pacific
Bangladesh,2008,16.38, Asia Pacific
Bangladesh,2009,18.75, Asia Pacific
Bangladesh,2010,19.25, Asia Pacific
Bangladesh,2011,19.58, Asia Pacific
Bangladesh,2012,21.34, Asia Pacific
Bangladesh,2013,21.95, Asia Pacific
Bangladesh,2014,23.02, Asia Pacific
Bangladesh,2015,25.85, Asia Pacific
Bangladesh,2016,26.45, Asia Pacific
Bangladesh,2017,26.66, Asia Pacific
Bangladesh,2018,27.52, Asia Pacific
Brunei,1970,0.21, Asia Pacific
Brunei,1971,0.21, Asia Pacific
Brunei,1972,0.43, Asia Pacific
Brunei,1973,1.9, Asia Pacific
Brunei,1974,4.12, Asia Pacific
Brunei,1975,5.4, Asia Pacific
Brunei,1976,7.12, Asia Pacific
Brunei,1977,8.17, Asia Pacific
Brunei,1978,8.01, Asia Pacific
Brunei,1979,8.39, Asia Pacific
Brunei,1980,8.42, Asia Pacific
Brunei,1981,8.15, Asia Pacific
Brunei,1982,8.15, Asia Pacific
Brunei,1983,8.5, Asia Pacific
Brunei,1984,8.6, Asia Pacific
Brunei,1985,8.38, Asia Pacific
Brunei,1986,8.4, Asia Pacific
Brunei,1987,8.38, Asia Pacific
Brunei,1988,8.71, Asia Pacific
Brunei,1989,8.54, Asia Pacific
Brunei,1990,8.7, Asia Pacific
Brunei,1991,8.83, Asia Pacific
Brunei,1992,9.51, Asia Pacific
Brunei,1993,10.07, Asia Pacific
Brunei,1994,10.13, Asia Pacific
Brunei,1995,11.47, Asia Pacific
Brunei,1996,11.37, Asia Pacific
Brunei,1997,11.38, Asia Pacific
Brunei,1998,10.5, Asia Pacific
Brunei,1999,10.95, Asia Pacific
Brunei,2000,11.02, Asia Pacific
Brunei,2001,11.11, Asia Pacific
Brunei,2002,11.17, Asia Pacific
Brunei,2003,12.05, Asia Pacific
Brunei,2004,11.93, Asia Pacific
Brunei,2005,11.71, Asia Pacific
Brunei,2006,12.26, Asia Pacific
Brunei,2007,11.95, Asia Pacific
Brunei,2008,11.85, Asia Pacific
Brunei,2009,11.13, Asia Pacific
Brunei,2010,11.98, Asia Pacific
Brunei,2011,12.48, Asia Pacific
Brunei,2012,12.25, Asia Pacific
Brunei,2013,11.9, Asia Pacific
Brunei,2014,12.69, Asia Pacific
Brunei,2015,13.29, Asia Pacific
Brunei,2016,12.94, Asia Pacific
Brunei,2017,12.85, Asia Pacific
Brunei,2018,12.57, Asia Pacific
China,1970,2.89, Asia Pacific
China,1971,3.77, Asia Pacific
China,1972,4.88, Asia Pacific
China,1973,6.03, Asia Pacific
China,1974,7.59, Asia Pacific
China,1975,8.92, Asia Pacific
China,1976,10.18, Asia Pacific
China,1977,12.22, Asia Pacific
China,1978,13.84, Asia Pacific
China,1979,14.62, Asia Pacific
China,1980,14.38, Asia Pacific
China,1981,12.84, Asia Pacific
China,1982,12.02, Asia Pacific
China,1983,12.31, Asia Pacific
China,1984,12.53, Asia Pacific
China,1985,13.03, Asia Pacific
China,1986,13.87, Asia Pacific
China,1987,14, Asia Pacific
China,1988,14.37, Asia Pacific
China,1989,15.17, Asia Pacific
China,1990,15.42, Asia Pacific
China,1991,15.61, Asia Pacific
China,1992,15.91, Asia Pacific
China,1993,16.9, Asia Pacific
China,1994,17.7, Asia Pacific
China,1995,18.09, Asia Pacific
China,1996,20.27, Asia Pacific
China,1997,22.88, Asia Pacific
China,1998,23.46, Asia Pacific
China,1999,25.4, Asia Pacific
China,2000,27.41, Asia Pacific
China,2001,30.57, Asia Pacific
China,2002,32.92, Asia Pacific
China,2003,35.29, Asia Pacific
China,2004,41.79, Asia Pacific
China,2005,49.71, Asia Pacific
China,2006,59.01, Asia Pacific
China,2007,69.78, Asia Pacific
China,2008,80.93, Asia Pacific
China,2009,85.94, Asia Pacific
China,2010,96.54, Asia Pacific
China,2011,106.17, Asia Pacific
China,2012,111.48, Asia Pacific
China,2013,121.81, Asia Pacific
China,2014,131.18, Asia Pacific
China,2015,135.67, Asia Pacific
China,2016,137.94, Asia Pacific
China,2017,149.19, Asia Pacific
China,2018,161.53, Asia Pacific
India,1970,0.63, Asia Pacific
India,1971,0.67, Asia Pacific
India,1972,0.74, Asia Pacific
India,1973,0.73, Asia Pacific
India,1974,0.83, Asia Pacific
India,1975,1.06, Asia Pacific
India,1976,1.29, Asia Pacific
India,1977,1.38, Asia Pacific
India,1978,1.54, Asia Pacific
India,1979,1.92, Asia Pacific
India,1980,1.13, Asia Pacific
India,1981,1.98, Asia Pacific
India,1982,2.59, Asia Pacific
India,1983,3.09, Asia Pacific
India,1984,3.53, Asia Pacific
India,1985,4.32, Asia Pacific
India,1986,6.04, Asia Pacific
India,1987,6.96, Asia Pacific
India,1988,8.15, Asia Pacific
India,1989,9.69, Asia Pacific
India,1990,11.59, Asia Pacific
India,1991,12.91, Asia Pacific
India,1992,14.43, Asia Pacific
India,1993,14.67, Asia Pacific
India,1994,15.86, Asia Pacific
India,1995,18.08, Asia Pacific
India,1996,19.73, Asia Pacific
India,1997,21.45, Asia Pacific
India,1998,23.54, Asia Pacific
India,1999,24.12, Asia Pacific
India,2000,25.36, Asia Pacific
India,2001,25.43, Asia Pacific
India,2002,26.55, Asia Pacific
India,2003,28.43, Asia Pacific
India,2004,28.14, Asia Pacific
India,2005,28.51, Asia Pacific
India,2006,28.19, Asia Pacific
India,2007,28.96, Asia Pacific
India,2008,29.39, Asia Pacific
India,2009,36.15, Asia Pacific
India,2010,47.43, Asia Pacific
India,2011,42.93, Asia Pacific
India,2012,37.27, Asia Pacific
India,2013,31.06, Asia Pacific
India,2014,29.36, Asia Pacific
India,2015,28.14, Asia Pacific
India,2016,26.58, Asia Pacific
India,2017,27.69, Asia Pacific
India,2018,27.49, Asia Pacific
Indonesia,1970,1.28, Asia Pacific
Indonesia,1971,1.52, Asia Pacific
Indonesia,1972,1.13, Asia Pacific
Indonesia,1973,1.75, Asia Pacific
Indonesia,1974,1.8, Asia Pacific
Indonesia,1975,2.36, Asia Pacific
Indonesia,1976,2.39, Asia Pacific
Indonesia,1977,5.74, Asia Pacific
Indonesia,1978,11.04, Asia Pacific
Indonesia,1979,16.02, Asia Pacific
Indonesia,1980,18.79, Asia Pacific
Indonesia,1981,19.05, Asia Pacific
Indonesia,1982,19.37, Asia Pacific
Indonesia,1983,22.1, Asia Pacific
Indonesia,1984,29.79, Asia Pacific
Indonesia,1985,32.78, Asia Pacific
Indonesia,1986,34.11, Asia Pacific
Indonesia,1987,36.45, Asia Pacific
Indonesia,1988,39.81, Asia Pacific
Indonesia,1989,41.88, Asia Pacific
Indonesia,1990,44.54, Asia Pacific
Indonesia,1991,48.91, Asia Pacific
Indonesia,1992,51.83, Asia Pacific
Indonesia,1993,53.85, Asia Pacific
Indonesia,1994,61.35, Asia Pacific
Indonesia,1995,61.63, Asia Pacific
Indonesia,1996,64.94, Asia Pacific
Indonesia,1997,66.67, Asia Pacific
Indonesia,1998,65.56, Asia Pacific
Indonesia,1999,71.09, Asia Pacific
Indonesia,2000,70.68, Asia Pacific
Indonesia,2001,68.63, Asia Pacific
Indonesia,2002,75.59, Asia Pacific
Indonesia,2003,79.16, Asia Pacific
Indonesia,2004,75.69, Asia Pacific
Indonesia,2005,76.27, Asia Pacific
Indonesia,2006,75.4, Asia Pacific
Indonesia,2007,72.58, Asia Pacific
Indonesia,2008,74.83, Asia Pacific
Indonesia,2009,78.04, Asia Pacific
Indonesia,2010,87, Asia Pacific
Indonesia,2011,82.68, Asia Pacific
Indonesia,2012,78.3, Asia Pacific
Indonesia,2013,77.62, Asia Pacific
Indonesia,2014,76.4, Asia Pacific
Indonesia,2015,76.16, Asia Pacific
Indonesia,2016,75.08, Asia Pacific
Indonesia,2017,72.87, Asia Pacific
Indonesia,2018,73.17, Asia Pacific
Malaysia,1970,0, Asia Pacific
Malaysia,1971,0.08, Asia Pacific
Malaysia,1972,0.12, Asia Pacific
Malaysia,1973,0.12, Asia Pacific
Malaysia,1974,0.24, Asia Pacific
Malaysia,1975,0.29, Asia Pacific
Malaysia,1976,0.35, Asia Pacific
Malaysia,1977,0.32, Asia Pacific
Malaysia,1978,2.37, Asia Pacific
Malaysia,1979,2.94, Asia Pacific
Malaysia,1980,2.61, Asia Pacific
Malaysia,1981,2.2, Asia Pacific
Malaysia,1982,2.77, Asia Pacific
Malaysia,1983,6.67, Asia Pacific
Malaysia,1984,10.14, Asia Pacific
Malaysia,1985,11.2, Asia Pacific
Malaysia,1986,15.06, Asia Pacific
Malaysia,1987,16.28, Asia Pacific
Malaysia,1988,16.81, Asia Pacific
Malaysia,1989,18.2, Asia Pacific
Malaysia,1990,18.01, Asia Pacific
Malaysia,1991,21.39, Asia Pacific
Malaysia,1992,22.39, Asia Pacific
Malaysia,1993,24.12, Asia Pacific
Malaysia,1994,25.55, Asia Pacific
Malaysia,1995,28.29, Asia Pacific
Malaysia,1996,36.15, Asia Pacific
Malaysia,1997,41.31, Asia Pacific
Malaysia,1998,41.23, Asia Pacific
Malaysia,1999,42.23, Asia Pacific
Malaysia,2000,49.68, Asia Pacific
Malaysia,2001,49.02, Asia Pacific
Malaysia,2002,50.59, Asia Pacific
Malaysia,2003,52.72, Asia Pacific
Malaysia,2004,60.14, Asia Pacific
Malaysia,2005,67.7, Asia Pacific
Malaysia,2006,67.47, Asia Pacific
Malaysia,2007,67.63, Asia Pacific
Malaysia,2008,69.21, Asia Pacific
Malaysia,2009,66.91, Asia Pacific
Malaysia,2010,65.83, Asia Pacific
Malaysia,2011,66.95, Asia Pacific
Malaysia,2012,69.25, Asia Pacific
Malaysia,2013,72.91, Asia Pacific
Malaysia,2014,71.99, Asia Pacific
Malaysia,2015,73.85, Asia Pacific
Malaysia,2016,72.39, Asia Pacific
Malaysia,2017,74.46, Asia Pacific
Malaysia,2018,72.49, Asia Pacific
Myanmar,1970,0.01, Asia Pacific
Myanmar,1971,0.01, Asia Pacific
Myanmar,1972,0.02, Asia Pacific
Myanmar,1973,0.02, Asia Pacific
Myanmar,1974,0.16, Asia Pacific
Myanmar,1975,0.18, Asia Pacific
Myanmar,1976,0.25, Asia Pacific
Myanmar,1977,0.23, Asia Pacific
Myanmar,1978,0.27, Asia Pacific
Myanmar,1979,0.27, Asia Pacific
Myanmar,1980,0.34, Asia Pacific
Myanmar,1981,0.41, Asia Pacific
Myanmar,1982,0.44, Asia Pacific
Myanmar,1983,0.59, Asia Pacific
Myanmar,1984,0.63, Asia Pacific
Myanmar,1985,0.9, Asia Pacific
Myanmar,1986,1.05, Asia Pacific
Myanmar,1987,1.17, Asia Pacific
Myanmar,1988,1.02, Asia Pacific
Myanmar,1989,1.07, Asia Pacific
Myanmar,1990,0.84, Asia Pacific
Myanmar,1991,0.84, Asia Pacific
Myanmar,1992,0.85, Asia Pacific
Myanmar,1993,1.08, Asia Pacific
Myanmar,1994,1.4, Asia Pacific
Myanmar,1995,1.61, Asia Pacific
Myanmar,1996,1.57, Asia Pacific
Myanmar,1997,1.48, Asia Pacific
Myanmar,1998,1.73, Asia Pacific
Myanmar,1999,1.69, Asia Pacific
Myanmar,2000,3.34, Asia Pacific
Myanmar,2001,6.88, Asia Pacific
Myanmar,2002,8.25, Asia Pacific
Myanmar,2003,9.43, Asia Pacific
Myanmar,2004,10.02, Asia Pacific
Myanmar,2005,11.99, Asia Pacific
Myanmar,2006,12.38, Asia Pacific
Myanmar,2007,13.28, Asia Pacific
Myanmar,2008,12.18, Asia Pacific
Myanmar,2009,11.35, Asia Pacific
Myanmar,2010,12.21, Asia Pacific
Myanmar,2011,12.55, Asia Pacific
Myanmar,2012,12.51, Asia Pacific
Myanmar,2013,12.86, Asia Pacific
Myanmar,2014,16.54, Asia Pacific
Myanmar,2015,19.22, Asia Pacific
Myanmar,2016,18.28, Asia Pacific
Myanmar,2017,17.8, Asia Pacific
Myanmar,2018,17.8, Asia Pacific
Other Asia Pacific,1970,5.44, Asia Pacific
Other Asia Pacific,1971,6.1, Asia Pacific
Other Asia Pacific,1972,6.62, Asia Pacific
Other Asia Pacific,1973,6.85, Asia Pacific
Other Asia Pacific,1974,7.16, Asia Pacific
Other Asia Pacific,1975,7.03, Asia Pacific
Other Asia Pacific,1976,7.8, Asia Pacific
Other Asia Pacific,1977,8.82, Asia Pacific
Other Asia Pacific,1978,8.49, Asia Pacific
Other Asia Pacific,1979,7.56, Asia Pacific
Other Asia Pacific,1980,7.73, Asia Pacific
Other Asia Pacific,1981,7.42, Asia Pacific
Other Asia Pacific,1982,7.87, Asia Pacific
Other Asia Pacific,1983,8.09, Asia Pacific
Other Asia Pacific,1984,8.9, Asia Pacific
Other Asia Pacific,1985,9.69, Asia Pacific
Other Asia Pacific,1986,10.24, Asia Pacific
Other Asia Pacific,1987,10.24, Asia Pacific
Other Asia Pacific,1988,10.68, Asia Pacific
Other Asia Pacific,1989,8.15, Asia Pacific
Other Asia Pacific,1990,7.95, Asia Pacific
Other Asia Pacific,1991,8.11, Asia Pacific
Other Asia Pacific,1992,8.36, Asia Pacific
Other Asia Pacific,1993,8.28, Asia Pacific
Other Asia Pacific,1994,8.08, Asia Pacific
Other Asia Pacific,1995,7.87, Asia Pacific
Other Asia Pacific,1996,8.5, Asia Pacific
Other Asia Pacific,1997,8.86, Asia Pacific
Other Asia Pacific,1998,8.24, Asia Pacific
Other Asia Pacific,1999,8.85, Asia Pacific
Other Asia Pacific,2000,9.3, Asia Pacific
Other Asia Pacific,2001,9.84, Asia Pacific
Other Asia Pacific,2002,11.21, Asia Pacific
Other Asia Pacific,2003,10.89, Asia Pacific
Other Asia Pacific,2004,10.54, Asia Pacific
Other Asia Pacific,2005,11.29, Asia Pacific
Other Asia Pacific,2006,14.51, Asia Pacific
Other Asia Pacific,2007,17.23, Asia Pacific
Other Asia Pacific,2008,18.19, Asia Pacific
Other Asia Pacific,2009,18.53, Asia Pacific
Other Asia Pacific,2010,18.15, Asia Pacific
Other Asia Pacific,2011,18.28, Asia Pacific
Other Asia Pacific,2012,17.98, Asia Pacific
Other Asia Pacific,2013,18.72, Asia Pacific
Other Asia Pacific,2014,23.59, Asia Pacific
Other Asia Pacific,2015,29.37, Asia Pacific
Other Asia Pacific,2016,30.21, Asia Pacific
Other Asia Pacific,2017,30.27, Asia Pacific
Other Asia Pacific,2018,27.5, Asia Pacific
Pakistan,1970,2.91, Asia Pacific
Pakistan,1971,2.9, Asia Pacific
Pakistan,1972,2.69, Asia Pacific
Pakistan,1973,3.06, Asia Pacific
Pakistan,1974,3.39, Asia Pacific
Pakistan,1975,3.81, Asia Pacific
Pakistan,1976,3.88, Asia Pacific
Pakistan,1977,4.24, Asia Pacific
Pakistan,1978,4.36, Asia Pacific
Pakistan,1979,4.91, Asia Pacific
Pakistan,1980,6, Asia Pacific
Pakistan,1981,6.54, Asia Pacific
Pakistan,1982,7.13, Asia Pacific
Pakistan,1983,7.03, Asia Pacific
Pakistan,1984,7.21, Asia Pacific
Pakistan,1985,7.36, Asia Pacific
Pakistan,1986,7.9, Asia Pacific
Pakistan,1987,8.46, Asia Pacific
Pakistan,1988,8.97, Asia Pacific
Pakistan,1989,9.56, Asia Pacific
Pakistan,1990,10.21, Asia Pacific
Pakistan,1991,11.03, Asia Pacific
Pakistan,1992,10.82, Asia Pacific
Pakistan,1993,12.46, Asia Pacific
Pakistan,1994,12.7, Asia Pacific
Pakistan,1995,13.03, Asia Pacific
Pakistan,1996,14.15, Asia Pacific
Pakistan,1997,14.11, Asia Pacific
Pakistan,1998,14.86, Asia Pacific
Pakistan,1999,16.95, Asia Pacific
Pakistan,2000,17.95, Asia Pacific
Pakistan,2001,18.95, Asia Pacific
Pakistan,2002,20.55, Asia Pacific
Pakistan,2003,25.55, Asia Pacific
Pakistan,2004,30.68, Asia Pacific
Pakistan,2005,32.61, Asia Pacific
Pakistan,2006,33.32, Asia Pacific
Pakistan,2007,33.8, Asia Pacific
Pakistan,2008,34.61, Asia Pacific
Pakistan,2009,34.7, Asia Pacific
Pakistan,2010,35.35, Asia Pacific
Pakistan,2011,35.34, Asia Pacific
Pakistan,2012,36.6, Asia Pacific
Pakistan,2013,35.59, Asia Pacific
Pakistan,2014,34.99, Asia Pacific
Pakistan,2015,35.05, Asia Pacific
Pakistan,2016,34.68, Asia Pacific
Pakistan,2017,34.65, Asia Pacific
Pakistan,2018,34.19, Asia Pacific
Thailand,1970,0, Asia Pacific
